X,Y,Z,SensorValue
0.0,14.756,1.4,297
0.0,14.912,1.4,299
0.0,14.996,1.4,298
0.0,15.0,1.4,306
0.0,15.0,1.448,302
0.0,15.0,1.584,306
0.0,15.0,1.756,291
0.0,15.0,1.92,289
0.0,15.0,2.06,289
0.0,15.0,2.1,290
0.0,15.0,2.1,298
0.0,14.952,2.1,286
0.0,14.812,2.1,282
0.0,14.64,2.1,287
0.0,14.476,2.1,289
0.0,14.304,2.1,302
0.0,14.132,2.1,303
0.0,13.972,2.1,305
0.0,13.8,2.1,289
0.0,13.636,2.1,291
0.0,13.464,2.1,290
0.0,13.304,2.1,288
0.0,13.132,2.1,287
0.0,12.968,2.1,300
0.0,12.796,2.1,302
0.0,12.632,2.1,298
0.0,12.464,2.1,301
0.0,12.3,2.1,304
0.0,12.128,2.1,295
0.0,11.964,2.1,294
0.0,11.796,2.1,295
0.0,11.624,2.1,296
0.0,11.46,2.1,293
0.0,11.288,2.1,294
0.0,11.128,2.1,291
0.0,10.956,2.1,290
0.0,10.792,2.1,287
0.0,10.62,2.1,264
0.0,10.456,2.1,257
0.0,10.288,2.1,245
0.0,10.124,2.1,239
0.0,9.952,2.1,231
0.0,9.788,2.1,233
0.0,9.616,2.1,246
0.0,9.456,2.1,255
0.0,9.284,2.1,268
0.0,9.112,2.1,293
0.0,8.952,2.1,289
0.0,8.78,2.1,296
0.0,8.616,2.1,296
0.0,8.444,2.1,297
0.0,8.28,2.1,299
0.0,8.112,2.1,302
0.0,7.948,2.1,299
0.0,7.776,2.1,314
0.0,7.612,2.1,301
0.0,7.44,2.1,317
0.0,7.28,2.1,309
0.0,7.108,2.1,314
0.0,6.944,2.1,315
0.0,6.776,2.1,310
0.0,6.604,2.1,303
0.0,6.44,2.1,310
0.0,6.268,2.1,306
0.0,6.108,2.1,299
0.0,5.936,2.1,303
0.0,5.772,2.1,299
0.0,5.6,2.1,298
0.0,5.436,2.1,298
0.0,5.268,2.1,298
0.0,5.104,2.1,299
0.0,4.932,2.1,296
0.0,4.768,2.1,291
0.0,4.596,2.1,289
0.0,4.432,2.1,287
0.0,4.264,2.1,299
0.0,4.092,2.1,294
0.0,3.928,2.1,287
0.0,3.76,2.1,299
0.0,3.596,2.1,269
0.0,3.424,2.1,266
0.0,3.26,2.1,274
0.0,3.088,2.1,276
0.0,2.928,2.1,283
0.0,2.756,2.1,283
0.0,2.592,2.1,289
0.0,2.42,2.1,300
0.0,2.26,2.1,302
0.0,2.088,2.1,288
0.0,1.924,2.1,291
0.0,1.756,2.1,288
0.0,1.584,2.1,288
0.0,1.42,2.1,299
0.0,1.248,2.1,302
0.0,1.084,2.1,303
0.0,0.916,2.1,298
0.0,0.752,2.1,290
0.0,0.58,2.1,290
0.0,0.416,2.1,294
0.0,0.244,2.1,291
0.0,0.088,2.1,290
0.0,0.004,2.1,292
0.0,0.0,2.1,299
0.0,0.0,2.148,302
0.0,0.0,2.284,300
0.0,0.0,2.456,299
0.0,0.0,2.62,298
0.0,0.0,2.76,298
0.0,0.0,2.8,295
0.0,0.0,2.8,300
0.0,0.048,2.8,290
0.0,0.188,2.8,290
0.0,0.36,2.8,290
0.0,0.524,2.8,290
0.0,0.696,2.8,289
0.0,0.864,2.8,288
0.0,1.028,2.8,286
0.0,1.2,2.8,287
0.0,1.364,2.8,286
0.0,1.536,2.8,297
0.0,1.696,2.8,287
0.0,1.868,2.8,291
0.0,2.032,2.8,288
0.0,2.204,2.8,288
0.0,2.364,2.8,300
0.0,2.536,2.8,290
0.0,2.7,2.8,291
0.0,2.872,2.8,290
0.0,3.036,2.8,289
0.0,3.204,2.8,289
0.0,3.376,2.8,290
0.0,3.54,2.8,292
0.0,3.712,2.8,292
0.0,3.872,2.8,297
0.0,4.044,2.8,297
0.0,4.208,2.8,294
0.0,4.38,2.8,293
0.0,4.544,2.8,296
0.0,4.712,2.8,299
0.0,4.876,2.8,299
0.0,5.048,2.8,299
0.0,5.212,2.8,298
0.0,5.38,2.8,300
0.0,5.548,2.8,299
0.0,5.716,2.8,299
0.0,5.884,2.8,298
0.0,6.052,2.8,310
0.0,6.22,2.8,317
0.0,6.384,2.8,320
0.0,6.556,2.8,318
0.0,6.72,2.8,320
0.0,6.888,2.8,320
0.0,7.052,2.8,315
0.0,7.224,2.8,302
0.0,7.388,2.8,314
0.0,7.556,2.8,307
0.0,7.72,2.8,300
0.0,7.892,2.8,298
0.0,8.056,2.8,288
0.0,8.228,2.8,301
0.0,8.396,2.8,290
0.0,8.56,2.8,286
0.0,8.732,2.8,256
0.0,8.896,2.8,257
0.0,9.064,2.8,257
0.0,9.228,2.8,255
0.0,9.4,2.8,256
0.0,9.564,2.8,257
0.0,9.736,2.8,292
0.0,9.896,2.8,302
0.0,10.068,2.8,301
0.0,10.232,2.8,302
0.0,10.4,2.8,304
0.0,10.564,2.8,302
0.0,10.736,2.8,303
0.0,10.908,2.8,307
0.0,11.072,2.8,309
0.0,11.24,2.8,305
0.0,11.404,2.8,302
0.0,11.576,2.8,300
0.0,11.74,2.8,297
0.0,11.908,2.8,304
0.0,12.072,2.8,299
0.0,12.244,2.8,302
0.0,12.408,2.8,302
0.0,12.576,2.8,302
0.0,12.74,2.8,300
0.0,12.912,2.8,300
0.0,13.076,2.8,296
0.0,13.248,2.8,291
0.0,13.416,2.8,289
0.0,13.58,2.8,293
0.0,13.752,2.8,297
0.0,13.916,2.8,292
0.0,14.088,2.8,302
0.0,14.252,2.8,292
0.0,14.42,2.8,288
0.0,14.584,2.8,288
0.0,14.756,2.8,288
0.0,14.912,2.8,288
0.0,14.996,2.8,288
0.0,15.0,2.8,298
0.0,14.952,2.8,288
0.0,14.812,2.8,290
0.0,14.64,2.8,291
0.0,14.48,2.8,292
0.0,14.308,2.8,300
0.0,14.144,2.8,300
0.0,13.972,2.8,301
0.0,13.812,2.8,301
0.0,13.64,2.8,303
0.0,13.476,2.8,302
0.0,13.304,2.8,297
0.0,13.14,2.8,291
0.0,12.972,2.8,292
0.0,12.808,2.8,293
0.0,12.636,2.8,296
0.0,12.464,2.8,300
0.0,12.304,2.8,292
0.0,12.132,2.8,290
0.0,11.968,2.8,291
0.0,11.796,2.8,292
0.0,11.632,2.8,295
0.0,11.464,2.8,297
0.0,11.3,2.8,288
0.0,11.128,2.8,304
0.0,10.964,2.8,289
0.0,10.796,2.8,276
0.0,10.632,2.8,282
0.0,10.46,2.8,251
0.0,10.296,2.8,235
0.0,10.128,2.8,246
0.0,9.956,2.8,238
0.0,9.792,2.8,247
0.0,9.62,2.8,256
0.0,9.456,2.8,258
0.0,9.288,2.8,265
0.0,9.124,2.8,298
0.0,8.952,2.8,290
0.0,8.788,2.8,292
0.0,8.62,2.8,298
0.0,8.456,2.8,298
0.0,8.284,2.8,299
0.0,8.12,2.8,298
0.0,7.948,2.8,298
0.0,7.788,2.8,298
0.0,7.616,2.8,304
0.0,7.444,2.8,309
0.0,7.28,2.8,305
0.0,7.112,2.8,299
0.0,6.948,2.8,302
0.0,6.776,2.8,297
0.0,6.612,2.8,298
0.0,6.444,2.8,298
0.0,6.28,2.8,298
0.0,6.108,2.8,299
0.0,5.944,2.8,298
0.0,5.776,2.8,298
0.0,5.612,2.8,296
0.0,5.44,2.8,299
0.0,5.276,2.8,295
0.0,5.104,2.8,290
0.0,4.936,2.8,290
0.0,4.772,2.8,290
0.0,4.6,2.8,290
0.0,4.436,2.8,291
0.0,4.268,2.8,288
0.0,4.104,2.8,287
0.0,3.932,2.8,288
0.0,3.768,2.8,285
0.0,3.6,2.8,307
0.0,3.432,2.8,293
0.0,3.264,2.8,303
0.0,3.1,2.8,310
0.0,2.928,2.8,312
0.0,2.764,2.8,314
0.0,2.596,2.8,317
0.0,2.424,2.8,321
0.0,2.26,2.8,310
0.0,2.092,2.8,311
0.0,1.928,2.8,313
0.0,1.756,2.8,309
0.0,1.592,2.8,306
0.0,1.424,2.8,298
0.0,1.256,2.8,299
0.0,1.088,2.8,295
0.0,0.924,2.8,296
0.0,0.752,2.8,294
0.0,0.588,2.8,296
0.0,0.416,2.8,300
0.0,0.256,2.8,303
0.0,0.092,2.8,302
0.0,0.004,2.8,303
0.0,0.0,2.8,310
0.044,0.0,2.8,312
0.18,0.0,2.8,314
0.248,0.0,2.8,314
0.252,0.0,2.8,310
0.252,0.0,2.752,311
0.252,0.0,2.608,308
0.252,0.0,2.44,309
0.252,0.0,2.268,306
0.252,0.0,2.104,305
0.252,0.0,1.932,311
0.252,0.0,1.772,308
0.252,0.0,1.6,310
0.252,0.0,1.436,305
0.252,0.0,1.264,308
0.252,0.0,1.1,313
0.252,0.0,0.932,310
0.252,0.0,0.768,308
0.252,0.0,0.596,309
0.252,0.0,0.432,311
0.252,0.0,0.264,309
0.252,0.0,0.1,307
0.252,0.0,0.008,309
0.252,0.0,0.0,306
0.252,0.048,0.0,306
0.252,0.184,0.0,306
0.252,0.36,0.0,304
0.252,0.52,0.0,304
0.252,0.692,0.0,307
0.252,0.856,0.0,308
0.252,1.024,0.0,307
0.252,1.188,0.0,305
0.252,1.36,0.0,309
0.252,1.524,0.0,308
0.252,1.696,0.0,305
0.252,1.864,0.0,308
0.252,2.028,0.0,309
0.252,2.2,0.0,306
0.252,2.364,0.0,303
0.252,2.536,0.0,311
0.252,2.696,0.0,313
0.252,2.868,0.0,311
0.252,3.032,0.0,315
0.252,3.204,0.0,315
0.252,3.364,0.0,313
0.252,3.536,0.0,314
0.252,3.7,0.0,314
0.252,3.872,0.0,314
0.252,4.036,0.0,312
0.252,4.204,0.0,313
0.252,4.376,0.0,309
0.252,4.54,0.0,308
0.252,4.712,0.0,306
0.252,4.876,0.0,281
0.252,5.044,0.0,278
0.252,5.208,0.0,278
0.252,5.38,0.0,281
0.252,5.54,0.0,288
0.252,5.712,0.0,281
0.252,5.876,0.0,265
0.252,6.048,0.0,257
0.252,6.212,0.0,259
0.252,6.38,0.0,268
0.252,6.544,0.0,261
0.252,6.716,0.0,280
0.252,6.884,0.0,275
0.252,7.048,0.0,278
0.252,7.22,0.0,298
0.252,7.384,0.0,297
0.252,7.552,0.0,310
0.252,7.72,0.0,309
0.252,7.888,0.0,318
0.252,8.052,0.0,319
0.252,8.224,0.0,314
0.252,8.388,0.0,334
0.252,8.556,0.0,346
0.252,8.72,0.0,336
0.252,8.892,0.0,327
0.252,9.056,0.0,299
0.252,9.224,0.0,309
0.252,9.396,0.0,298
0.252,9.56,0.0,298
0.252,9.728,0.0,299
0.252,9.892,0.0,290
0.252,10.064,0.0,292
0.252,10.228,0.0,262
0.252,10.4,0.0,253
0.252,10.564,0.0,243
0.252,10.732,0.0,241
0.252,10.896,0.0,258
0.252,11.068,0.0,279
0.252,11.232,0.0,300
0.252,11.404,0.0,294
0.252,11.564,0.0,292
0.252,11.736,0.0,299
0.252,11.908,0.0,299
0.252,12.072,0.0,298
0.252,12.24,0.0,293
0.252,12.404,0.0,295
0.252,12.576,0.0,296
0.252,12.74,0.0,280
0.252,12.908,0.0,259
0.252,13.072,0.0,257
0.252,13.244,0.0,258
0.252,13.408,0.0,285
0.252,13.576,0.0,293
0.252,13.74,0.0,289
0.252,13.912,0.0,297
0.252,14.076,0.0,298
0.252,14.248,0.0,295
0.252,14.416,0.0,292
0.252,14.58,0.0,289
0.252,14.752,0.0,290
0.252,14.908,0.0,290
0.252,14.996,0.0,291
